FIPS,County,Year,Population,Primary County Coordinates
19009,Audubon County,July 01 2009,6032,"(41.685, -94.906)"
19009,Audubon County,April 01 2010,6119,"(41.685, -94.906)"
19011,Benton County,April 01 1990,22429,"(42.08, -92.066)"
19011,Benton County,July 01 1991,22425,"(42.08, -92.066)"
19011,Benton County,July 01 1992,22526,"(42.08, -92.066)"
19011,Benton County,July 01 1993,22712,"(42.08, -92.066)"
19011,Benton County,July 01 1994,23223,"(42.08, -92.066)"
19011,Benton County,July 01 1995,23552,"(42.08, -92.066)"
19011,Benton County,July 01 1996,23962,"(42.08, -92.066)"
19011,Benton County,July 01 1997,24249,"(42.08, -92.066)"
19011,Benton County,July 01 1998,24453,"(42.08, -92.066)"
19011,Benton County,July 01 1999,24823,"(42.08, -92.066)"
19011,Benton County,April 01 2000,25307,"(42.08, -92.066)"
19011,Benton County,July 01 2001,25619,"(42.08, -92.066)"
19011,Benton County,July 01 2002,25991,"(42.08, -92.066)"
19011,Benton County,July 01 2003,26176,"(42.08, -92.066)"
19011,Benton County,July 01 2004,26493,"(42.08, -92.066)"
19011,Benton County,July 01 2005,26643,"(42.08, -92.066)"
19011,Benton County,July 01 2006,26571,"(42.08, -92.066)"
19011,Benton County,July 01 2007,26551,"(42.08, -92.066)"
19011,Benton County,July 01 2008,26642,"(42.08, -92.066)"
19011,Benton County,July 01 2009,26734,"(42.08, -92.066)"
19011,Benton County,April 01 2010,26076,"(42.08, -92.066)"
19013,Black Hawk County,April 01 1990,123798,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1991,124155,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1992,125601,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1993,126142,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1994,126976,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1995,127150,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1996,126936,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1997,127392,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1998,127275,"(42.47, -92.309)"
19013,Black Hawk County,July 01 1999,127743,"(42.47, -92.309)"
19013,Black Hawk County,April 01 2000,128013,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2001,127656,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2002,126628,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2003,126026,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2004,126077,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2005,126235,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2006,126556,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2007,126737,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2008,128040,"(42.47, -92.309)"
19013,Black Hawk County,July 01 2009,129276,"(42.47, -92.309)"
19013,Black Hawk County,April 01 2010,131090,"(42.47, -92.309)"
19015,Boone County,April 01 1990,25186,"(42.037, -93.932)"
19015,Boone County,July 01 1991,25200,"(42.037, -93.932)"
19015,Boone County,July 01 1992,25335,"(42.037, -93.932)"
19015,Boone County,July 01 1993,25259,"(42.037, -93.932)"
19015,Boone County,July 01 1994,25133,"(42.037, -93.932)"
19015,Boone County,July 01 1995,25161,"(42.037, -93.932)"
19015,Boone County,July 01 1996,25456,"(42.037, -93.932)"
19015,Boone County,July 01 1997,25742,"(42.037, -93.932)"
19015,Boone County,July 01 1998,26023,"(42.037, -93.932)"
19015,Boone County,July 01 1999,25930,"(42.037, -93.932)"
19015,Boone County,April 01 2000,26216,"(42.037, -93.932)"
19015,Boone County,July 01 2001,26210,"(42.037, -93.932)"
19015,Boone County,July 01 2002,26032,"(42.037, -93.932)"
19015,Boone County,July 01 2003,26123,"(42.037, -93.932)"
19015,Boone County,July 01 2004,26224,"(42.037, -93.932)"
19015,Boone County,July 01 2005,26311,"(42.037, -93.932)"
19015,Boone County,July 01 2006,26246,"(42.037, -93.932)"
19015,Boone County,July 01 2007,26297,"(42.037, -93.932)"
19015,Boone County,July 01 2008,26186,"(42.037, -93.932)"
19015,Boone County,July 01 2009,26072,"(42.037, -93.932)"
19015,Boone County,April 01 2010,26306,"(42.037, -93.932)"
19017,Bremer County,April 01 1990,22813,"(42.775, -92.318)"
19017,Bremer County,July 01 1991,22854,"(42.775, -92.318)"
19017,Bremer County,July 01 1992,22931,"(42.775, -92.318)"
19017,Bremer County,July 01 1993,23038,"(42.775, -92.318)"
19017,Bremer County,July 01 1994,23157,"(42.775, -92.318)"
19017,Bremer County,July 01 1995,23098,"(42.775, -92.318)"
19017,Bremer County,July 01 1996,23183,"(42.775, -92.318)"
19017,Bremer County,July 01 1997,23301,"(42.775, -92.318)"
19017,Bremer County,July 01 1998,23292,"(42.775, -92.318)"
19017,Bremer County,July 01 1999,23322,"(42.775, -92.318)"
19017,Bremer County,April 01 2000,23325,"(42.775, -92.318)"
19017,Bremer County,July 01 2001,23401,"(42.775, -92.318)"
19017,Bremer County,July 01 2002,23202,"(42.775, -92.318)"
19017,Bremer County,July 01 2003,23273,"(42.775, -92.318)"
19017,Bremer County,July 01 2004,23369,"(42.775, -92.318)"
19017,Bremer County,July 01 2005,23394,"(42.775, -92.318)"
19017,Bremer County,July 01 2006,23531,"(42.775, -92.318)"
19017,Bremer County,July 01 2007,23633,"(42.775, -92.318)"
19017,Bremer County,July 01 2008,23509,"(42.775, -92.318)"
19017,Bremer County,July 01 2009,23460,"(42.775, -92.318)"
19017,Bremer County,April 01 2010,24276,"(42.775, -92.318)"
19019,Buchanan County,April 01 1990,20844,"(42.471, -91.838)"
19019,Buchanan County,July 01 1991,20842,"(42.471, -91.838)"
19019,Buchanan County,July 01 1992,20902,"(42.471, -91.838)"
19019,Buchanan County,July 01 1993,20952,"(42.471, -91.838)"
19019,Buchanan County,July 01 1994,21091,"(42.471, -91.838)"
19019,Buchanan County,July 01 1995,21230,"(42.471, -91.838)"
19019,Buchanan County,July 01 1996,21141,"(42.471, -91.838)"
19019,Buchanan County,July 01 1997,21126,"(42.471, -91.838)"
19019,Buchanan County,July 01 1998,21084,"(42.471, -91.838)"
19019,Buchanan County,July 01 1999,21088,"(42.471, -91.838)"
19019,Buchanan County,April 01 2000,21093,"(42.471, -91.838)"
19019,Buchanan County,July 01 2001,20945,"(42.471, -91.838)"
19019,Buchanan County,July 01 2002,20761,"(42.471, -91.838)"
19019,Buchanan County,July 01 2003,20778,"(42.471, -91.838)"
19019,Buchanan County,July 01 2004,20852,"(42.471, -91.838)"
19019,Buchanan County,July 01 2005,20760,"(42.471, -91.838)"
19019,Buchanan County,July 01 2006,20875,"(42.471, -91.838)"
19019,Buchanan County,July 01 2007,20975,"(42.471, -91.838)"
19019,Buchanan County,July 01 2008,21033,"(42.471, -91.838)"
19019,Buchanan County,July 01 2009,20910,"(42.471, -91.838)"
19019,Buchanan County,April 01 2010,20958,"(42.471, -91.838)"
19021,Buena Vista County,April 01 1990,19965,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1991,19992,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1992,20076,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1993,20299,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1994,20578,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1995,20497,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1996,20500,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1997,20506,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1998,20427,"(42.735, -95.151)"
19021,Buena Vista County,July 01 1999,20301,"(42.735, -95.151)"
19021,Buena Vista County,April 01 2000,20411,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2001,20194,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2002,20142,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2003,19990,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2004,19800,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2005,19713,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2006,19604,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2007,19455,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2008,19491,"(42.735, -95.151)"
19021,Buena Vista County,July 01 2009,19601,"(42.735, -95.151)"
19021,Buena Vista County,April 01 2010,20260,"(42.735, -95.151)"
19023,Butler County,April 01 1990,15731,"(42.732, -92.79)"
19023,Butler County,July 01 1991,15713,"(42.732, -92.79)"
19023,Butler County,July 01 1992,15788,"(42.732, -92.79)"
19023,Butler County,July 01 1993,15709,"(42.732, -92.79)"
19023,Butler County,July 01 1994,15578,"(42.732, -92.79)"
19023,Butler County,July 01 1995,15578,"(42.732, -92.79)"
19023,Butler County,July 01 1996,15573,"(42.732, -92.79)"
19023,Butler County,July 01 1997,15531,"(42.732, -92.79)"
19023,Butler County,July 01 1998,15501,"(42.732, -92.79)"
19023,Butler County,July 01 1999,15406,"(42.732, -92.79)"
19023,Butler County,April 01 2000,15305,"(42.732, -92.79)"
19023,Butler County,July 01 2001,15005,"(42.732, -92.79)"
19023,Butler County,July 01 2002,14826,"(42.732, -92.79)"
19023,Butler County,July 01 2003,14782,"(42.732, -92.79)"
19023,Butler County,July 01 2004,14782,"(42.732, -92.79)"
19023,Butler County,July 01 2005,14712,"(42.732, -92.79)"
19023,Butler County,July 01 2006,14632,"(42.732, -92.79)"
19023,Butler County,July 01 2007,14626,"(42.732, -92.79)"
19023,Butler County,July 01 2008,14595,"(42.732, -92.79)"
19023,Butler County,July 01 2009,14341,"(42.732, -92.79)"
19023,Butler County,April 01 2010,14867,"(42.732, -92.79)"
19025,Calhoun County,April 01 1990,11508,"(42.385, -94.64)"
19025,Calhoun County,July 01 1991,11501,"(42.385, -94.64)"
19025,Calhoun County,July 01 1992,11497,"(42.385, -94.64)"
19025,Calhoun County,July 01 1993,11503,"(42.385, -94.64)"
19025,Calhoun County,July 01 1994,11478,"(42.385, -94.64)"
19025,Calhoun County,July 01 1995,11630,"(42.385, -94.64)"
19025,Calhoun County,July 01 1996,11473,"(42.385, -94.64)"
19025,Calhoun County,July 01 1997,11426,"(42.385, -94.64)"
19025,Calhoun County,July 01 1998,11377,"(42.385, -94.64)"
19025,Calhoun County,July 01 1999,11296,"(42.385, -94.64)"
19025,Calhoun County,April 01 2000,11115,"(42.385, -94.64)"
19025,Calhoun County,July 01 2001,10946,"(42.385, -94.64)"
19025,Calhoun County,July 01 2002,10719,"(42.385, -94.64)"
19025,Calhoun County,July 01 2003,10522,"(42.385, -94.64)"
19025,Calhoun County,July 01 2004,10388,"(42.385, -94.64)"
19025,Calhoun County,July 01 2005,10247,"(42.385, -94.64)"
19025,Calhoun County,July 01 2006,10101,"(42.385, -94.64)"
19025,Calhoun County,July 01 2007,9951,"(42.385, -94.64)"
19025,Calhoun County,July 01 2008,9851,"(42.385, -94.64)"
19025,Calhoun County,July 01 2009,9671,"(42.385, -94.64)"
19025,Calhoun County,April 01 2010,9670,"(42.385, -94.64)"
19027,Carroll County,April 01 1990,21423,"(42.036, -94.861)"
19027,Carroll County,July 01 1991,21415,"(42.036, -94.861)"
19027,Carroll County,July 01 1992,21429,"(42.036, -94.861)"
19027,Carroll County,July 01 1993,21483,"(42.036, -94.861)"
19027,Carroll County,July 01 1994,21634,"(42.036, -94.861)"
19027,Carroll County,July 01 1995,21525,"(42.036, -94.861)"
19027,Carroll County,July 01 1996,21651,"(42.036, -94.861)"
19027,Carroll County,July 01 1997,21651,"(42.036, -94.861)"
19027,Carroll County,July 01 1998,21705,"(42.036, -94.861)"
19027,Carroll County,July 01 1999,21703,"(42.036, -94.861)"
19027,Carroll County,April 01 2000,21427,"(42.036, -94.861)"
19027,Carroll County,July 01 2001,21214,"(42.036, -94.861)"
19027,Carroll County,July 01 2002,21138,"(42.036, -94.861)"
19027,Carroll County,July 01 2003,20984,"(42.036, -94.861)"
19027,Carroll County,July 01 2004,20888,"(42.036, -94.861)"
19027,Carroll County,July 01 2005,20911,"(42.036, -94.861)"
19027,Carroll County,July 01 2006,20766,"(42.036, -94.861)"
19027,Carroll County,July 01 2007,20788,"(42.036, -94.861)"
19027,Carroll County,July 01 2008,20679,"(42.036, -94.861)"
19027,Carroll County,July 01 2009,20674,"(42.036, -94.861)"
19027,Carroll County,April 01 2010,20816,"(42.036, -94.861)"
19029,Cass County,April 01 1990,15128,"(41.331, -94.928)"
19029,Cass County,July 01 1991,15110,"(41.331, -94.928)"
19029,Cass County,July 01 1992,15062,"(41.331, -94.928)"
19029,Cass County,July 01 1993,15056,"(41.331, -94.928)"
19029,Cass County,July 01 1994,15090,"(41.331, -94.928)"
19029,Cass County,July 01 1995,15168,"(41.331, -94.928)"
19029,Cass County,July 01 1996,15043,"(41.331, -94.928)"
19029,Cass County,July 01 1997,15005,"(41.331, -94.928)"
19029,Cass County,July 01 1998,14886,"(41.331, -94.928)"
19029,Cass County,July 01 1999,14794,"(41.331, -94.928)"
19029,Cass County,April 01 2000,14684,"(41.331, -94.928)"
19029,Cass County,July 01 2001,14476,"(41.331, -94.928)"
19029,Cass County,July 01 2002,14214,"(41.331, -94.928)"
19029,Cass County,July 01 2003,14228,"(41.331, -94.928)"
19029,Cass County,July 01 2004,14078,"(41.331, -94.928)"
19029,Cass County,July 01 2005,13918,"(41.331, -94.928)"
19029,Cass County,July 01 2006,13912,"(41.331, -94.928)"
19029,Cass County,July 01 2007,13870,"(41.331, -94.928)"
19029,Cass County,July 01 2008,13812,"(41.331, -94.928)"
19029,Cass County,July 01 2009,13758,"(41.331, -94.928)"
19029,Cass County,April 01 2010,13956,"(41.331, -94.928)"
19031,Cedar County,April 01 1990,17444,"(41.772, -91.132)"
19031,Cedar County,July 01 1991,17447,"(41.772, -91.132)"
19031,Cedar County,July 01 1992,17505,"(41.772, -91.132)"
19031,Cedar County,July 01 1993,17703,"(41.772, -91.132)"
19031,Cedar County,July 01 1994,17551,"(41.772, -91.132)"
19031,Cedar County,July 01 1995,17566,"(41.772, -91.132)"
19031,Cedar County,July 01 1996,17742,"(41.772, -91.132)"
19031,Cedar County,July 01 1997,17860,"(41.772, -91.132)"
19031,Cedar County,July 01 1998,18102,"(41.772, -91.132)"
19031,Cedar County,July 01 1999,18057,"(41.772, -91.132)"
19031,Cedar County,April 01 2000,18187,"(41.772, -91.132)"
19031,Cedar County,July 01 2001,18074,"(41.772, -91.132)"
19031,Cedar County,July 01 2002,18049,"(41.772, -91.132)"
19031,Cedar County,July 01 2003,18058,"(41.772, -91.132)"
19031,Cedar County,July 01 2004,18030,"(41.772, -91.132)"
19031,Cedar County,July 01 2005,17933,"(41.772, -91.132)"
19031,Cedar County,July 01 2006,18000,"(41.772, -91.132)"
19031,Cedar County,July 01 2007,17950,"(41.772, -91.132)"
19031,Cedar County,July 01 2008,18047,"(41.772, -91.132)"
19031,Cedar County,July 01 2009,18006,"(41.772, -91.132)"
19031,Cedar County,April 01 2010,18499,"(41.772, -91.132)"
19033,Cerro Gordo County,April 01 1990,46733,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1991,46773,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1992,47206,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1993,47060,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1994,46904,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1995,46945,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1996,47196,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1997,47080,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1998,47091,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 1999,46950,"(43.082, -93.261)"
19033,Cerro Gordo County,April 01 2000,46447,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2001,45744,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2002,45263,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2003,45142,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2004,44654,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2005,44321,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2006,44048,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2007,43915,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2008,43740,"(43.082, -93.261)"
19033,Cerro Gordo County,July 01 2009,43609,"(43.082, -93.261)"
19033,Cerro Gordo County,April 01 2010,44151,"(43.082, -93.261)"
19035,Cherokee County,April 01 1990,14098,"(42.736, -95.624)"
19035,Cherokee County,July 01 1991,14107,"(42.736, -95.624)"
19035,Cherokee County,July 01 1992,14062,"(42.736, -95.624)"
19035,Cherokee County,July 01 1993,13978,"(42.736, -95.624)"
19035,Cherokee County,July 01 1994,13912,"(42.736, -95.624)"
19035,Cherokee County,July 01 1995,13882,"(42.736, -95.624)"
19035,Cherokee County,July 01 1996,13635,"(42.736, -95.624)"
19035,Cherokee County,July 01 1997,13450,"(42.736, -95.624)"
19035,Cherokee County,July 01 1998,13381,"(42.736, -95.624)"
19035,Cherokee County,July 01 1999,13204,"(42.736, -95.624)"
19035,Cherokee County,April 01 2000,13032,"(42.736, -95.624)"
19035,Cherokee County,July 01 2001,12835,"(42.736, -95.624)"
19035,Cherokee County,July 01 2002,12530,"(42.736, -95.624)"
19035,Cherokee County,July 01 2003,12347,"(42.736, -95.624)"
19035,Cherokee County,July 01 2004,12210,"(42.736, -95.624)"
19035,Cherokee County,July 01 2005,12021,"(42.736, -95.624)"
19035,Cherokee County,July 01 2006,11791,"(42.736, -95.624)"
19035,Cherokee County,July 01 2007,11684,"(42.736, -95.624)"
19035,Cherokee County,July 01 2008,11501,"(42.736, -95.624)"
19035,Cherokee County,July 01 2009,11409,"(42.736, -95.624)"
19035,Cherokee County,April 01 2010,12072,"(42.736, -95.624)"
19037,Chickasaw County,April 01 1990,13295,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1991,13288,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1992,13219,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1993,13218,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1994,13238,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1995,13287,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1996,13297,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1997,13270,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1998,13272,"(43.06, -92.318)"
19037,Chickasaw County,July 01 1999,13237,"(43.06, -92.318)"
19037,Chickasaw County,April 01 2000,13095,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2001,13047,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2002,12763,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2003,12550,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2004,12436,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2005,12268,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2006,12268,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2007,12174,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2008,12071,"(43.06, -92.318)"
19037,Chickasaw County,July 01 2009,12017,"(43.06, -92.318)"
19037,Chickasaw County,April 01 2010,12439,"(43.06, -92.318)"
19039,Clarke County,April 01 1990,8287,"(41.029, -93.785)"
19039,Clarke County,July 01 1991,8301,"(41.029, -93.785)"
19039,Clarke County,July 01 1992,8353,"(41.029, -93.785)"
19039,Clarke County,July 01 1993,8496,"(41.029, -93.785)"
19039,Clarke County,July 01 1994,8549,"(41.029, -93.785)"
19039,Clarke County,July 01 1995,8429,"(41.029, -93.785)"
19039,Clarke County,July 01 1996,8486,"(41.029, -93.785)"
19039,Clarke County,July 01 1997,8663,"(41.029, -93.785)"
19039,Clarke County,July 01 1998,8701,"(41.029, -93.785)"
19039,Clarke County,July 01 1999,8841,"(41.029, -93.785)"
19039,Clarke County,April 01 2000,9133,"(41.029, -93.785)"
19039,Clarke County,July 01 2001,9180,"(41.029, -93.785)"
19039,Clarke County,July 01 2002,9168,"(41.029, -93.785)"
19039,Clarke County,July 01 2003,9211,"(41.029, -93.785)"
19039,Clarke County,July 01 2004,9221,"(41.029, -93.785)"
19039,Clarke County,July 01 2005,9076,"(41.029, -93.785)"
19039,Clarke County,July 01 2006,9074,"(41.029, -93.785)"
19039,Clarke County,July 01 2007,9017,"(41.029, -93.785)"
19039,Clarke County,July 01 2008,9085,"(41.029, -93.785)"
19039,Clarke County,July 01 2009,9086,"(41.029, -93.785)"
19039,Clarke County,April 01 2010,9286,"(41.029, -93.785)"
19041,Clay County,April 01 1990,17585,"(43.083, -95.151)"
19041,Clay County,July 01 1991,17654,"(43.083, -95.151)"
19041,Clay County,July 01 1992,17638,"(43.083, -95.151)"
19041,Clay County,July 01 1993,17766,"(43.083, -95.151)"
19041,Clay County,July 01 1994,17700,"(43.083, -95.151)"
19041,Clay County,July 01 1995,17696,"(43.083, -95.151)"
19041,Clay County,July 01 1996,17577,"(43.083, -95.151)"
19041,Clay County,July 01 1997,17601,"(43.083, -95.151)"
19041,Clay County,July 01 1998,17662,"(43.083, -95.151)"
19041,Clay County,July 01 1999,17550,"(43.083, -95.151)"
